employee_id,title,start_date
397,Data Scientist,2018-04-02
192,Analyst,2021-06-24
267,Analyst,2022-03-21
494,Manager,2021-12-26
147,Data Scientist,2021-08-31
395,Developer,2020-06-16
333,Data Scientist,2017-05-19
127,Manager,2022-11-20
46,Data Scientist,2017-10-11
45,Data Scientist,2020-03-26
1,Manager,2016-08-25
168,Analyst,2019-12-05
108,Developer,2016-11-21
19,Manager,2016-05-08
332,HR Specialist,2016-05-04
72,Analyst,2022-07-31
456,HR Specialist,2021-12-31
445,Analyst,2016-01-25
109,Developer,2015-10-22
268,Developer,2018-10-24
445,Data Scientist,2022-10-14
240,HR Specialist,2022-12-22
417,Analyst,2019-09-14
301,Developer,2022-02-09
90,Manager,2016-10-10
103,Developer,2020-02-17
476,Manager,2016-07-21
250,Analyst,2022-12-10
453,Developer,2022-09-18
8,Developer,2016-03-20
153,Analyst,2015-12-29
347,Developer,2020-12-10
174,Manager,2018-04-26
343,Developer,2017-01-11
158,HR Specialist,2020-08-03
493,Data Scientist,2016-11-10
431,Manager,2021-10-03
215,HR Specialist,2019-07-01
177,Analyst,2019-04-22
175,Manager,2018-09-20
340,Data Scientist,2020-11-09
338,Data Scientist,2015-03-04
146,Analyst,2022-01-03
450,Analyst,2018-03-08
324,Manager,2018-05-13
478,Developer,2022-09-20
161,Analyst,2015-09-13
127,Developer,2015-05-15
420,HR Specialist,2017-05-24
82,Data Scientist,2017-04-01
485,Developer,2020-11-05
147,Data Scientist,2017-04-02
239,Developer,2017-08-31
412,HR Specialist,2019-11-13
424,Analyst,2015-05-01
84,HR Specialist,2019-06-26
113,Analyst,2018-09-26
225,Analyst,2017-10-04
332,Data Scientist,2017-07-13
378,HR Specialist,2016-10-06
243,Developer,2020-07-25
143,HR Specialist,2022-07-24
41,Data Scientist,2022-12-17
423,Analyst,2020-08-30
258,Data Scientist,2015-08-30
447,Manager,2021-11-07
285,Manager,2022-04-22
105,Developer,2021-06-08
202,Data Scientist,2019-06-08
450,Developer,2017-03-13
307,Developer,2017-08-21
331,Manager,2015-03-10
461,Developer,2018-02-26
266,Manager,2015-07-15
398,Analyst,2020-12-27
210,Data Scientist,2021-05-19
51,Developer,2021-06-17
118,Manager,2017-01-15
201,HR Specialist,2019-08-16
377,Developer,2015-10-04
39,Analyst,2015-03-02
28,Analyst,2020-03-28
259,HR Specialist,2020-09-30
84,Manager,2021-01-09
454,Developer,2019-11-08
155,Manager,2018-08-27
117,Analyst,2020-01-12
2,Manager,2022-02-04
93,Analyst,2016-07-20
166,Manager,2019-04-21
387,HR Specialist,2016-09-13
400,Data Scientist,2020-07-18
350,HR Specialist,2018-04-15
296,HR Specialist,2015-11-10
258,Data Scientist,2022-10-25
81,Data Scientist,2022-12-05
425,Developer,2020-11-14
268,Developer,2018-05-21
419,HR Specialist,2022-11-16
235,HR Specialist,2015-05-17
321,Analyst,2017-10-26
311,Analyst,2020-11-26
301,Developer,2022-02-07
463,Developer,2016-10-23
474,Analyst,2021-10-08
357,Analyst,2022-05-01
213,Manager,2021-04-27
62,Manager,2015-03-28
49,Analyst,2021-11-17
127,Manager,2020-10-24
223,Data Scientist,2021-11-23
409,Developer,2021-09-27
279,Developer,2022-11-12
408,Analyst,2022-08-05
294,HR Specialist,2021-11-09
284,Analyst,2018-08-01
277,Manager,2019-08-28
438,HR Specialist,2022-05-24
107,Manager,2022-06-12
146,Data Scientist,2016-05-09
420,Manager,2019-07-06
99,Data Scientist,2020-04-26
429,Data Scientist,2017-12-04
375,Manager,2018-11-25
73,Manager,2016-08-19
437,Data Scientist,2016-03-25
486,HR Specialist,2016-04-29
122,Data Scientist,2016-10-07
30,Developer,2022-04-21
188,Data Scientist,2019-06-18
364,HR Specialist,2016-10-23
354,Developer,2017-01-27
288,Analyst,2015-10-16
451,Analyst,2016-12-21
195,HR Specialist,2016-09-29
156,Data Scientist,2021-04-01
172,Manager,2021-09-29
335,HR Specialist,2016-05-13
41,Developer,2016-09-25
63,Developer,2019-08-01
23,Analyst,2020-07-23
360,Developer,2015-04-25
75,HR Specialist,2016-11-04
48,Developer,2019-10-03
160,HR Specialist,2018-06-11
313,Manager,2021-03-03
118,Analyst,2021-04-13
100,Developer,2022-09-06
380,HR Specialist,2015-05-27
417,Data Scientist,2020-12-05
408,Analyst,2016-02-16
167,Manager,2019-08-15
290,HR Specialist,2021-08-07
440,Manager,2019-03-13
156,Manager,2015-05-17
421,Developer,2015-01-19
7,Developer,2021-02-20
196,HR Specialist,2021-07-05
421,Data Scientist,2020-05-13
56,HR Specialist,2021-01-31
321,Data Scientist,2017-09-28
193,Manager,2016-03-24
47,Analyst,2020-05-02
148,HR Specialist,2017-08-03
275,HR Specialist,2018-10-09
157,Data Scientist,2019-03-03
202,Manager,2015-05-21
444,Manager,2022-09-06
402,Data Scientist,2020-04-04
476,Manager,2015-04-03
419,Developer,2015-08-27
427,Analyst,2015-07-24
495,HR Specialist,2022-02-20
479,Analyst,2018-12-27
475,HR Specialist,2015-09-02
126,Developer,2017-04-11
395,Manager,2015-10-22
305,Data Scientist,2022-05-11
369,Developer,2017-05-05
294,Analyst,2020-08-26
64,Data Scientist,2015-03-12
325,Manager,2018-07-16
392,Developer,2018-09-10
418,Data Scientist,2015-11-01
176,Developer,2017-10-27
116,Developer,2018-08-30
440,Manager,2017-03-27
204,HR Specialist,2018-01-31
486,Data Scientist,2017-03-31
321,Manager,2015-07-12
31,Developer,2019-11-12
388,Manager,2016-06-12
113,HR Specialist,2021-01-27
365,Data Scientist,2015-09-08
434,HR Specialist,2019-11-24
325,Analyst,2022-02-01
414,Data Scientist,2020-07-19
376,HR Specialist,2021-09-29
344,Developer,2022-10-12
443,Data Scientist,2018-11-04
67,Data Scientist,2018-03-13
75,Manager,2020-09-03
45,Developer,2022-06-08
260,Analyst,2018-01-01
154,HR Specialist,2022-05-03
155,Manager,2020-01-22
430,HR Specialist,2016-05-19
363,Analyst,2019-06-10
448,Analyst,2021-07-11
475,Data Scientist,2021-10-08
234,Analyst,2021-12-21
51,HR Specialist,2018-10-19
306,Developer,2022-05-01
262,Developer,2018-05-07
315,Data Scientist,2016-12-18
125,HR Specialist,2015-12-05
399,HR Specialist,2016-10-20
245,Analyst,2017-08-19
30,HR Specialist,2016-03-04
426,Manager,2017-06-17
485,Analyst,2015-05-19
122,Manager,2016-06-25
125,Data Scientist,2020-10-05
37,Developer,2018-06-09
170,Data Scientist,2022-05-29
124,Developer,2021-10-18
357,Data Scientist,2016-01-19
35,HR Specialist,2022-02-20
87,Manager,2015-07-13
134,Developer,2022-01-25
196,Analyst,2022-01-09
274,Manager,2022-07-26
201,Analyst,2022-08-30
369,Manager,2021-02-10
285,Manager,2020-03-10
77,Data Scientist,2021-05-28
59,Developer,2017-01-01
431,Developer,2020-12-03
126,Manager,2022-11-12
500,HR Specialist,2016-11-15
401,HR Specialist,2015-03-23
109,Analyst,2022-11-21
224,Analyst,2021-07-08
496,Data Scientist,2022-02-17
278,Manager,2021-07-10
68,Analyst,2016-06-15
69,Analyst,2020-06-06
165,Manager,2015-08-09
489,Data Scientist,2016-09-26
305,Analyst,2019-11-05
397,Data Scientist,2021-06-28
162,Developer,2020-02-18
365,Data Scientist,2015-01-03
342,HR Specialist,2019-09-14
309,HR Specialist,2015-07-25
379,Data Scientist,2020-01-30
343,HR Specialist,2015-02-09
435,Developer,2020-10-07
387,Manager,2022-03-06
42,HR Specialist,2016-10-05
354,HR Specialist,2019-03-11
416,Data Scientist,2020-03-22
109,Developer,2022-11-30
51,Manager,2022-04-20
250,Data Scientist,2020-11-13
497,Data Scientist,2017-06-16
341,Developer,2017-12-21
430,Manager,2018-07-03
383,Developer,2022-02-21
492,Manager,2021-07-23
21,Developer,2016-11-01
300,Data Scientist,2019-02-14
139,Data Scientist,2021-06-22
359,Analyst,2016-12-19
324,HR Specialist,2017-12-07
499,Developer,2020-05-09
385,Analyst,2018-03-05
92,HR Specialist,2015-09-07
447,Developer,2021-06-19
280,Manager,2020-03-07
125,HR Specialist,2020-01-28
483,Data Scientist,2022-10-25
397,Analyst,2019-02-12
111,HR Specialist,2021-12-07
354,HR Specialist,2018-05-19
139,Data Scientist,2015-02-13
484,Developer,2022-03-03
435,Manager,2016-08-05
273,Data Scientist,2018-07-12
99,Manager,2015-08-08
252,Developer,2020-04-09
338,HR Specialist,2021-09-14
104,Manager,2022-08-06
214,Analyst,2017-09-17
249,Analyst,2019-12-18
152,Data Scientist,2017-05-07
250,Developer,2017-03-14
275,Data Scientist,2016-05-04
165,Data Scientist,2019-11-16
487,Data Scientist,2019-02-02
341,Analyst,2022-12-01
8,Analyst,2019-09-02
284,Data Scientist,2021-05-03
5,Analyst,2015-02-23
145,Developer,2022-01-19
101,Data Scientist,2016-09-07
164,Analyst,2017-12-18
374,Manager,2020-01-23
147,Data Scientist,2017-08-12
64,Data Scientist,2021-08-30
91,Developer,2019-06-18
117,HR Specialist,2022-08-13
354,HR Specialist,2022-07-26
267,Developer,2016-10-11
310,Developer,2021-06-05
173,Developer,2016-01-30
47,HR Specialist,2018-09-21
140,Developer,2022-03-25
246,Analyst,2022-01-05
149,Data Scientist,2021-09-09
246,Data Scientist,2016-01-06
395,Manager,2017-05-07
487,Manager,2017-03-01
476,Data Scientist,2016-10-19
5,Analyst,2022-08-15
465,HR Specialist,2018-10-24
184,HR Specialist,2016-01-19
20,Analyst,2020-10-10
425,HR Specialist,2021-12-27
46,Developer,2015-08-27
12,Data Scientist,2015-07-14
70,Data Scientist,2022-06-18
17,Analyst,2020-10-09
371,HR Specialist,2018-02-26
147,Manager,2022-06-25
154,Manager,2020-07-08
304,HR Specialist,2015-06-05
108,Manager,2017-07-11
236,Analyst,2022-12-25
308,Analyst,2019-05-29
352,HR Specialist,2017-09-01
70,Manager,2018-05-15
183,Analyst,2021-09-01
250,Analyst,2019-12-20
228,Developer,2017-04-17
102,Developer,2020-06-30
75,Analyst,2018-09-25
417,HR Specialist,2021-07-15
446,Data Scientist,2015-07-23
216,Data Scientist,2015-06-10
407,Analyst,2016-01-27
399,Analyst,2017-02-07
411,Analyst,2022-03-07
203,HR Specialist,2022-01-25
192,Developer,2017-12-29
249,Analyst,2016-02-09
499,Analyst,2016-08-30
242,Manager,2019-06-03
465,HR Specialist,2019-03-21
179,Analyst,2022-11-15
437,Manager,2020-01-12
462,Data Scientist,2016-11-20
219,Analyst,2018-05-25
82,Analyst,2020-10-04
92,Manager,2016-01-01
435,HR Specialist,2019-09-19
175,Analyst,2016-03-30
239,Data Scientist,2015-04-14
260,Analyst,2015-03-18
391,Data Scientist,2015-08-18
365,Developer,2020-04-21
163,Developer,2021-07-06
48,Data Scientist,2018-04-20
329,HR Specialist,2017-06-11
328,Analyst,2019-04-23
116,Analyst,2022-06-28
429,Developer,2020-09-05
337,Data Scientist,2019-08-03
337,Analyst,2015-10-26
369,Analyst,2017-08-14
225,HR Specialist,2022-10-17
352,Manager,2018-01-19
328,Developer,2021-12-02
147,Developer,2022-03-05
63,Manager,2021-11-10
294,Analyst,2019-01-14
323,HR Specialist,2015-12-31
443,HR Specialist,2022-12-16
325,Developer,2019-08-26
13,HR Specialist,2015-12-17
431,Manager,2021-04-19
494,Analyst,2022-09-29
189,Manager,2020-03-19
287,Data Scientist,2022-10-21
208,Developer,2017-10-08
114,HR Specialist,2021-11-11
480,Data Scientist,2016-05-13
22,HR Specialist,2017-08-07
349,Analyst,2020-06-17
214,Analyst,2020-08-08
171,Analyst,2016-05-22
323,HR Specialist,2018-08-20
54,Data Scientist,2021-12-23
394,Analyst,2022-10-21
298,Data Scientist,2022-03-30
320,HR Specialist,2015-06-15
126,Data Scientist,2021-11-14
277,HR Specialist,2017-07-08
464,HR Specialist,2015-04-24
